"fatalities","injured","evacuated","city","province","region","country","canada","disastertype","disastersubgroup","disastergroup","disastercategory","magnitude","utilitypeopleaffected","start_day","start_week","start_month","start_year","start_weekend","start_seasoncanada","start_seasoninternational","end_day","end_week","end_month","end_year","end_weekend","end_seasoncanada","end_seasoninternational","estimatedtotalcost","normalizedtotalcost","federaldfaapayments","provincialdfaapayments","provincialdepartmentpayments","municipalcosts","ogdcosts","insurancepayments","ngopayments","keyword1","keyword2","keyword3"
?,?,21,?,?,"Maritime Provinces","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,12000,15,7,2,2015,TRUE,"winter","summer",17,8,2,2015,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"flood","fire","snow"
?,?,?,"Fredericton","New Brunswick","Atlantic Canada","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,25000,28,22,5,2015,FALSE,"spring","fall",29,22,5,2015,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"flood","storm","wind"
?,?,?,?,?,"Southern Manitoba","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,5000,16,8,2,2015,FALSE,"winter","summer",18,8,2,2015,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"flood","snow","storm"
1,?,3432,?,"British Columbia","West Coast","Canada",TRUE,"Wildfire","Meteorological - Hydrological","Natural","Disaster",0,300,9,19,5,2015,TRUE,"spring","fall",11,37,9,2015,FALSE,"summer","spring",20401000,966872,20401000,?,?,?,?,?,?,"fire","evacuate","injured"
?,1,?,?,?,"Lower Mainland British Columbia","Canada",TRUE,"Storm - Unspecified / Other","Meteorological - Hydrological","Natural","Disaster",0,1500000,29,35,8,2015,TRUE,"summer","winter",29,35,8,2015,TRUE,"summer","winter",0,0,?,?,?,?,?,?,?,"storm","ice","wind"
?,?,?,"Vancouver","British Columbia","West Coast","Canada",TRUE,"Leak / Spill Release","Hazardous Chemicals","Technology","Incident",0,0,8,15,4,2015,FALSE,"spring","fall",8,15,4,2015,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"spill","water",?
?,?,?,?,?,"Prairie Provinces","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,9000,12,24,6,2015,FALSE,"spring","winter",12,24,6,2015,FALSE,"spring","winter",0,0,?,?,?,?,?,?,?,"storm","wind","rain"
?,?,?,?,?,"Alberta and Saskatchewan","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,0,22,30,7,2015,FALSE,"summer","winter",22,30,7,2015,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"storm","wind","tornado"
?,?,2070,"Easterville","Manitoba","Prairie Provinces","Canada",TRUE,"Wildfire","Meteorological - Hydrological","Natural","Disaster",0,0,23,25,6,2016,FALSE,"summer","winter",27,26,6,2016,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"fire","water","evacuate"
?,?,?,?,?,"Southern Alberta","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,105000,4,32,8,2015,FALSE,"summer","winter",5,32,8,2015,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"flood","storm","wind"
?,?,?,"Long Lake","Alberta","Prairie Provinces","Canada",TRUE,"Leak / Spill Release","Hazardous Chemicals","Technology","Incident",0,0,29,27,6,2015,FALSE,"summer","winter",22,30,7,2015,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"spill","water","damage"
?,?,?,"Chestermere","Alberta","Prairie Provinces","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,20000,12,28,7,2015,TRUE,"summer","winter",12,28,7,2015,TRUE,"summer","winter",0,0,?,?,?,?,?,?,?,"flood","storm","water"
?,?,?,"Windsor","Ontario","Central Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,29,39,9,2016,FALSE,"fall","spring",29,39,9,2016,FALSE,"fall","spring",0,0,?,?,?,?,?,?,?,"flood","storm","rain"
